year,counties,home_value,median_household_income,monthly_payment,payment_to_income_ratio,price_to_income_ratio,avg_mortgage_rate
2015,2486,134032.90054482053,47243.0,502.72114614768896,0.12934009522746062,2.8736653598326627,3.8505769230769227
2016,2486,140439.37250378839,48457.0,514.2184984221312,0.12950041256476072,2.947345783842052,3.6540384615384616
2017,2486,145956.70830090652,49996.0,556.7698258797324,0.1345651290750938,2.9396772805910345,3.9898076923076924
2018,2486,153404.45600287095,51427.5,625.0798378967237,0.14724102377292098,3.0112725585573727,4.544615384615384
2019,2486,161337.54441354627,54374.5,611.4302430419774,0.13651972902105874,3.0019447700577953,3.935769230769231
2020,2486,173329.14505609684,56267.0,592.9964954536051,0.1283680065704571,3.126763396017621,3.111698113207547
2021,2486,197360.54560362268,57728.0,662.066804253252,0.1390572141417148,3.454385503700956,2.957692307692308
2022,2486,221238.00633353466,61967.5,987.681818411728,0.19276986143572025,3.5983264912354684,5.344038461538461
2023,2486,226801.00424558265,64058.5,1183.6718941932904,0.22392590386463404,3.575499548075882,6.806730769230769
2024,2486,235945.68495380634,67880.0,1220.6542231770773,0.2183728092528518,3.5175209787874917,6.721153846153846
