county_fips,county,state,home_value,median_household_income,payment_to_income_ratio,home_value_growth,median_household_income_growth,monthly_payment_growth,burden_change_pp,price_contribution_pp,rate_contribution_pp,income_contribution_pp
01001,Autauga County,AL,249070.60209999257,78840.0,0.19612715106398912,0.5137585152584259,0.39342523860021217,1.087956663801501,6.523912689889563,6.810477981438484,5.2992451555232085,-5.585810447072127
01003,Baldwin County,AL,379290.18508614,82519.0,0.2853510750264909,0.9005454122264076,0.5751808654818944,1.6214593796276988,11.38895002946893,14.83736807066861,7.532033583424605,-10.980451624624283
01007,Bibb County,AL,220407.42051623785,60359.0,0.22669713982527098,0.5158863353612917,0.4805847867147448,1.0908916075976003,6.617024536674318,8.168098114537324,6.331628302266864,-7.882701880129871
01009,Blount County,AL,230252.46745512274,69371.0,0.2060573938698624,0.6081254287026729,0.37403688078119113,1.2181187892542904,7.841298631762633,7.910889896178354,5.387826811041772,-5.4574180754574915
01013,Butler County,AL,123801.21145189881,47673.0,0.16121827757660306,0.2630668554513096,0.4076119050431086,0.7421727647333147,3.0959802974568436,3.454963577397493,4.7500013838195585,-5.108984663760207
01015,Calhoun County,AL,160839.44942936007,53533.0,0.18652320128281014,0.3993759306047351,0.2718395856596423,0.9301865324078944,6.361922954102231,5.182216506450224,4.96205847760744,-3.7823520299554327
01017,Chambers County,AL,138128.84437838013,51067.0,0.16792134255909094,0.5560390389748198,0.4360798650168729,1.146275015343584,5.556460484758782,6.243944054174493,4.559849067568889,-5.2473326369845985
01019,Cherokee County,AL,219032.22918840553,61632.0,0.22062952343781161,0.6803859054312127,0.5744941753525445,1.3177890750984433,7.07539789822024,9.800515294430628,6.111470688624002,-8.836588084834393
01021,Chilton County,AL,211887.91459735075,66063.0,0.19911765082240168,0.6974248429286114,0.5447190590876143,1.3412912141339532,6.774534293976567,8.875969490879566,5.433777323682599,-7.535212520585598
01027,Clay County,AL,168978.92828999928,53550.0,0.1959002278093383,0.6635097763754481,0.37632363524210954,1.294511500923977,7.839281345350186,7.939991919619146,5.057092552612127,-5.157803126881085
01029,Cleburne County,AL,216742.21181970244,62370.0,0.215739477080703,0.8979291604747419,0.4802069489272831,1.6178507325257927,9.375426640190868,10.804779930611902,5.504689806635243,-6.934043097056275
01031,Coffee County,AL,182822.23410380035,71584.0,0.15855316442813253,0.5032650041823221,0.52767937171881,1.0734827591745901,4.173598929327839,5.721910868445885,4.524075330742723,-6.072387269860769
01037,Coosa County,AL,191228.37868119727,53054.0,0.22376701817382327,0.5662119244114661,0.4705360607572482,1.1603066747684085,7.144722336135501,8.531505317625557,6.140208269660935,-7.52699125115099
01039,Covington County,AL,153211.51039756686,53576.0,0.1775345864679293,0.5285195505748741,0.4736900013753267,1.1083168479014893,5.343988730707744,6.481927195721065,4.9279977615790065,-6.065936226592326
01041,Crenshaw County,AL,136033.58879369343,51238.0,0.16482225480668042,0.43922404759022915,0.3938899317174025,0.985149817873278,4.909089819596351,5.147442791773433,4.552114644913228,-4.79046761709031
01043,Cullman County,AL,239891.46214877962,64722.0,0.2301042961441174,0.6787066473070473,0.6472893866123695,1.3154728415940555,6.640193779939005,10.4828969829261,6.544771172356525,-10.387474375343619
01045,Dale County,AL,161229.8409966912,58359.0,0.17151395002587472,0.5700290788468263,0.28844880116571736,1.1655717503796987,6.946840789350784,6.104345088917325,4.376079251980331,-3.5335835515468723
01047,Dallas County,AL,91719.89819996637,41409.0,0.13750886143557076,-0.0066515553644878045,0.39508793208004844,0.3701448966577694,-0.25033034170556245,-0.09427093395183739,4.544579944965256,-4.700639352718981
01049,De Kalb County,AL,202654.94367206946,54180.0,0.2322095445996803,0.9384084566635307,0.4523522316043427,1.6736846157848717,10.607273388232027,11.772247075264364,5.818318191249129,-6.983291878281465
01051,Elmore County,AL,254019.38351906498,80024.0,0.1970645322057971,0.5339972683354739,0.4944348995293941,1.1158723709161467,5.787838920594187,7.301702400393814,5.504946714182351,-7.0188101939819765
01053,Escambia County,AL,147009.65720967078,56963.0,0.1602193170054489,0.611442095027366,0.5462269272529858,1.222693531846616,4.876201591091228,6.5993488564501295,4.4691517663710325,-6.192299031729933
01055,Etowah County,AL,171827.49240189744,57284.0,0.18621779545642406,0.7287158652326176,0.3592122434452485,1.384451531898149,8.006780492578573,7.92177348177572,4.703017441189435,-4.6180104303865805
01057,Fayette County,AL,145276.0456485768,54089.0,0.16674273571218023,0.6759162498959275,0.45851422407981657,1.3116239919853006,6.153676249102025,7.059312630443032,4.429415131347479,-5.335051512688487
01059,Franklin County,AL,188321.99445076927,56059.0,0.20855353876369892,0.8097725061346468,0.4547554171532373,1.496254538659676,8.701369353386456,9.78128828143209,5.367284960966026,-6.4472038890116625
01063,Greene County,AL,136277.4551341252,35813.0,0.23623550856544936,0.3874050716836177,0.4100716591857627,0.9136748930652694,6.216780420846154,6.79391848214185,6.673640313200508,-7.250778374496203
01065,Hale County,AL,177411.96612885033,50041.0,0.22009936715246547,0.5279688273478507,0.4107978573442346,1.1075572246061074,7.276494986775606,7.835211620635478,5.963955995885584,-6.522672629745455
01067,Henry County,AL,189988.51866780772,62086.0,0.18997460091615148,0.4910464352722297,0.4608126867603115,1.0566294486096677,5.503667742772253,6.573398660844929,5.303567813513786,-6.373298731586462
