county_fips,county,state,year
09001,Fairfield County,CT,2022
09001,Fairfield County,CT,2023
09001,Fairfield County,CT,2024
09003,Hartford County,CT,2022
09003,Hartford County,CT,2023
09003,Hartford County,CT,2024
09005,Litchfield County,CT,2022
09005,Litchfield County,CT,2023
09005,Litchfield County,CT,2024
09007,Middlesex County,CT,2022
09007,Middlesex County,CT,2023
09007,Middlesex County,CT,2024
09009,New Haven County,CT,2022
09009,New Haven County,CT,2023
09009,New Haven County,CT,2024
09011,New London County,CT,2022
09011,New London County,CT,2023
09011,New London County,CT,2024
09013,Tolland County,CT,2022
09013,Tolland County,CT,2023
09013,Tolland County,CT,2024
09015,Windham County,CT,2022
09015,Windham County,CT,2023
09015,Windham County,CT,2024
